indent,taxonID,rank,A id,A name,B id,B name,relation,other id,other name,note,reason,changed_props,unchanged
———————————,10908,genus,442599,A.Pogonomys,442599,B.Pogonomys,=,,,,canonicalName,number_of_children,
————————————,10909,species,442600,A.Pogonomys macrourus,442600,B.Pogonomys macrourus,=,,,,canonicalName,,tip
————————————,10910,species,491866,A.Pogonomys loriae,,,,,,,,,
—————————————,10911,subspecies,491888,A.Pogonomys loriae dryas,491888,B.Pogonomys loriae dryas,=,,,,canonicalName,,tip
————————————,10912,species,685446,A.Pogonomys sylvestris,685446,B.Pogonomys sylvestris,=,,,,canonicalName,,tip
————————————,10913,species,,,491866,B.Pogonomys loriae,,,,,,,
————————————,10914,species,,,2607027,B.Pogonomys mollipilosus,,,,,,,
————————————,10915,,,,2620817,B.unclassified Pogonomys,,,,,,,
———————————,10917,genus,442601,A.Pseudohydromys,,,,,,,,,
———————————,10919,genus,442620,A.Solomys,442620,B.Solomys,=,,,,canonicalName,,
————————————,10920,species,442621,A.Solomys salebrosus,442621,B.Solomys salebrosus,=,,,,canonicalName,,tip
————————————,10921,species,1078248,A.Solomys ponceleti,1078248,B.Solomys ponceleti,=,,,,scientificName,,tip
———————————,10922,genus,472706,A.Micaelamys,,,,,,,,,
———————————,10924,genus,472708,A.Bunomys,472708,B.Bunomys,=,,,,scientificName,number_of_children,
————————————,10925,species,472709,A.Bunomys andrewsi,472709,B.Bunomys andrewsi,=,,,,scientificName,,tip
————————————,10926,species,485423,A.Bunomys chrysocomus,485423,B.Bunomys chrysocomus,=,,,,canonicalName,,tip
————————————,10927,species,1330375,A.Bunomys penitus,1330375,B.Bunomys penitus,=,,,,scientificName,,tip
